object_id,mean_flux,std_flux,min_flux,max_flux,mean_flux_err,num_points,duration
Dornhoth_gwend_nagol,0.34342807433155076,1.1885119527705028,-2.61797598,6.22885213,0.45964870647058825,187,2468.9473999999973
Dornhoth_thurin_gwaloth,0.5968045194230769,0.6776577062270649,-1.90708684,2.5795641,0.5150086952884615,104,1838.8812000000034
Eluwaith_amarth_iar,0.011926777537313436,0.8306021535748807,-5.10374995,2.92174015,0.4225021708955224,134,1954.5475000000006
acharn_firion_morn,3.5861319462790693,2.7537421134687428,-0.72596877,10.22973107,0.43036076581395355,86,1331.7816999999995
adab_amdir_gli,1.565995673604651,2.3517883871164975,-0.932867,8.85324388,0.3541555036046512,86,920.9550000000017
adar_law_agor,0.3584319866494845,1.110056510120509,-2.83536004,5.98122395,0.438210858814433,194,2369.165000000001
agarwaen_guldur_Ithil,1.72274356853211,2.289937510126848,-2.78854777,7.01024558,0.47578995605504587,109,1593.2364000000016
alagos_rach_ris,0.511232278117647,1.1149827130078482,-1.96880597,6.14209,0.44761886623529407,170,2913.762999999999
amdir_ruith_braig,0.3364516180952381,0.8175362566329211,-2.94996891,3.08071938,0.4364894878571428,126,2979.114600000001
amloth_iphant_nur,0.7469666694949495,1.0184438714720478,-1.47580774,4.63350407,0.5786062657575758,99,2153.958899999998
andrann_galas_rochben,0.4993653057534247,0.8544443321630976,-2.00197749,2.75494968,0.45559202410958904,73,1316.4890000000014
angos_pod_cabed,0.21203389660194177,1.017161772836738,-2.12090825,2.63995082,0.4409598063106796,103,2207.9811999999947
ank_rovalug_eilian,0.29716950657142854,1.0834927251259643,-2.2939669,4.53200498,0.44492414342857145,105,1269.895899999996
anwar_thamas_agar,0.4844555925688073,1.3249053614654673,-2.09240981,4.84677104,0.4577743043119266,109,1567.229999999996
araf_lebenedh_nost,1.9934490330821917,1.1188031823549143,-2.13621432,5.1983956,0.5523321441780822,146,1138.678899999999
aranarth_rhovan_lasguil,0.7295779336440678,1.0596592666633728,-1.25076393,3.38634809,0.441843790338983,118,1958.0460999999996
aranarth_tobas_gellui,-0.8793178176608187,2.063158089257542,-5.90411365,3.10327124,0.5059448252631579,171,2148.0567999999985
balrog_gond_fuin,0.3536911380508475,0.7532393101436491,-2.32268551,3.06282574,0.40536165016949155,118,1245.044600000001
bass_myril_guldur,0.18687462600000002,0.7526057893623813,-3.23863004,4.12147304,0.47993384541935485,155,3478.448599999996
bragol_galenas_raug,0.2210372599441341,0.9005209030138279,-2.87599568,3.2775747,0.5415781197206704,179,2399.825100000002
bronwe_riel_pilin,0.3469224517575758,1.0834672907964642,-2.16771188,4.71217501,0.41669739825301205,165,2411.3692999999985
