object_id,mean_flux,std_flux,min_flux,max_flux,mean_flux_err,num_points,duration
Gonhir_rochir_Mirion,0.7590020287790697,1.1241272793112866,-4.77967928,5.32019127,0.4838442066860465,172,2492.3524000000034
Sindarin_lalaith_bregedur,2.4074339788235295,1.9043782633214064,-2.19068625,9.07468734,0.5590201398039216,153,3040.3870000000024
Tawarwaith_cabed_aeglir,0.9736379652941177,1.1494105899840328,-5.10917494,2.73859037,0.5209540707843137,51,972.3107000000018
Tawarwaith_gaw_in,0.49278956988888883,1.4283143121995976,-1.89062439,6.20330049,0.4804139402222222,180,2146.529699999999
achad_fae_eilian,0.36269862999999997,1.2057528043722825,-4.37592256,5.48627253,0.45767550798816564,168,2343.805100000005
adan_Druadan_annon,0.24820385549618318,1.0519609044556466,-2.55489009,3.58995787,0.5145455868702291,131,3240.214700000004
adar_hadhod_soga,0.43473870805882353,1.2209969620946162,-2.74605872,4.79535842,0.5440368569999999,170,2382.1267000000007
aegas_Druadan_gli,0.6994664499193549,0.9777702582499348,-2.64775836,4.04585244,0.4279144483064516,124,2528.3525999999983
aegas_ank_ungol,0.8501844554838709,0.8211785471412352,-1.02348176,2.57266155,0.5992146558064516,62,1539.1779999999999
aes_baug_lobor,0.5591232606535947,1.496882405124306,-1.85165019,7.69820207,0.5101706258169935,153,1881.5953999999983
aes_min_uan,0.5040340494117648,1.5924236068870707,-2.93199736,11.94938545,0.4227031531550802,187,2952.083900000005
agar_iar_glandagol,0.4398418658536586,0.8884673989684165,-1.53115097,2.84801643,0.38096539768292687,82,1474.0224999999991
ah_calad_mithren,-0.21265927339285715,1.1466812551650507,-4.16327018,4.09371139,0.42065953919642857,112,1891.7868000000017
alae_Sindarin_lembas,0.19926193804733727,0.9637361347496806,-1.94932796,7.47418857,0.4511494289349113,169,2990.133099999999
amdir_minuial_pod,0.2671905568715084,1.777890915281004,-2.02688915,13.2784083,0.4587687341899442,179,2234.329899999997
amlug_grond_rudh,0.37073353874316944,1.0751059287186762,-2.13133482,4.76056017,0.42177047153005465,183,2287.4037000000026
anann_rhovan_Gwathuirim,0.5789771358024691,0.8604159554998992,-1.36588217,2.94630781,0.46414975283950616,162,2172.969299999997
ank_anann_cugu,0.5485404293193717,1.59503282219404,-3.89480602,8.57613593,0.46013451136125655,191,2335.2307999999975
aran_gwachaedir_lost,0.8320431998305085,0.6767848060106231,-0.36900818,2.45712065,0.33407054728813557,59,1246.6705999999976
aranarth_aear_faradrim,11.496687090333333,4.411937161404017,2.17917296,24.60175354,0.4799770974271845,60,1234.938399999999
