object_id,mean_flux,std_flux,min_flux,max_flux,mean_flux_err,num_points,duration
Eluwaith_Druadan_cuin,0.25464660751515156,0.9625609512934155,-1.75083718,5.61722652,0.4447509375151515,165,2418.0602
Eluwaith_tathar_gwend,0.4929395935897436,1.1109981377268603,-2.16596376,4.39288414,0.4974799100641026,156,2961.291400000002
Eru_meldir_ulug,0.05636038962365591,0.7728985662322184,-4.5832121,3.26222531,0.38645342639784946,186,2637.3475999999937
Eru_mithren_aras,0.3534067344444444,1.033356662606552,-2.37449993,3.80338428,0.4839911666666667,117,1859.3276000000042
Gonhir_thavron_maen,0.5698161811428571,1.4801963254359094,-1.44506971,6.34408051,0.43634059723809526,105,1576.8228000000017
Ithil_caras_hadhod,0.4911056356349206,0.7413957746155843,-1.31725491,3.90257276,0.45992461674603174,126,1666.1102000000028
Mirion_gwathui_lebdas,0.3141611595027624,0.8800177476823313,-3.77088269,3.9163672,0.41373792397790055,181,2894.7934999999998
Rochirrim_navaer_luithien,-0.30711810122699384,1.1440131867489072,-3.34807409,3.29937887,0.49420025239263804,163,2284.5090999999957
Tawarwaith_rovalug_mund,1.0713491164285713,3.4835706939071294,-5.47870785,10.69829492,0.49895840129870134,154,3431.5748999999996
achas_rom_cair,-0.016857355862068962,0.9100268241961796,-2.59259395,3.36099517,0.49025700862068966,116,1591.2027999999991
adan_lachenn_gwanur,1.7100450176576576,1.3450852423775739,-1.78890027,5.65826039,0.32772114702702704,111,660.3199999999997
adel_tirith_riel,0.41640428,1.6024776538414325,-5.83597247,10.32676605,0.6114808723529412,170,1945.7520999999979
aegas_ryn_imlad,0.6044944235833333,1.5603825509678422,-3.15682136,6.98620071,0.48343763866666667,120,1280.337999999996
agarwaen_tobas_andrann,0.22492285092896175,1.0392251076415715,-2.7034848,5.30739821,0.5093273387978142,183,2302.835300000006
agor_grond_min,0.6969155189,1.575480477923183,-1.47088525,6.46508835,0.45245272200000003,100,1558.9461999999985
amarth_saew_melethron,-0.012565607386363626,1.1839263340754875,-3.56968521,3.05585678,0.4452019321590909,88,1754.7146999999968
amdir_ithildin_laer,0.028921673793103446,1.111023880156827,-2.35921846,2.74323132,0.35944843462068965,145,2518.0450999999957
anann_ungol_agarwaen,1.9445536099999998,3.619531766766745,-2.17722961,20.51717979,0.5162216489312977,131,1177.2725999999966
ank_cirdan_ryn,0.912715337421875,0.9968576714029622,-1.40803347,4.39898988,0.444894687421875,128,2574.897100000002
ank_parf_laes,-0.69730678518797,3.8795568194070857,-14.44393288,7.17285139,0.46492638571428574,133,2186.5976999999984
aphadrim_aduial_perian,0.3597192010322581,0.691801017974976,-1.66854659,2.89482447,0.3528673494193548,155,2478.4958000000042
aras_nadhras_galas,0.30375625210526314,1.2032825927764745,-2.56132784,4.5632871,0.47547513574626865,133,1837.8843000000052
bain_caras_nath,0.9549516006976745,0.7723193909907828,-0.62955437,3.18404458,0.4303099394186046,86,1902.2593000000052
barad_glamor_riel,0.11823445846560846,0.8178889395120902,-3.19900129,3.41696292,0.46065860550264554,189,3381.8407000000007
baug_agarwaen_angos,0.22048195859154932,1.2084901952698008,-3.41422577,4.79071145,0.5171477100704226,142,2290.032500000001
bragol_fae_aphadrim,-2.3264472776836156,2.913959124133736,-7.99729506,3.89766388,0.4335776746327684,177,2357.556199999999
bragol_gwachaedir_nost,0.24189034324137929,0.8705548705251818,-1.77895185,3.47019128,0.4581626130344828,145,2172.646099999998
bragol_laes_tathar,1.0432377020270271,3.4389944444420832,-1.65942605,16.51894734,0.4900797615540541,148,2590.137300000002
bragol_pethron_anwar,0.26041122517006804,0.8120568546782174,-0.9571948,3.2166094,0.39112112493333334,147,1180.2805000000008
braig_fern_nim,0.23991606308724833,0.894264976605028,-1.40790686,8.42037534,0.4460395722818792,149,1929.0296999999991
