object_id,mean_flux,std_flux,min_flux,max_flux,mean_flux_err,num_points,duration
Dornhoth_salab_corch,0.5446140137121213,0.8775917984609422,-0.99776415,3.88692728,0.4311553640909091,132,2494.475600000005
Eru_alae_nath,0.3015274544808743,1.267755390469602,-1.55821745,5.91201932,0.49500605819672133,183,2437.2850000000035
Ithil_law_galas,0.25354724459119493,1.3937642738948066,-4.7887261,6.72038495,0.5590436190625,159,2308.317900000002
Mithrim_mereth_rom,0.2946174501612903,1.0621738484575474,-3.84020877,4.82122913,0.46734922715053767,186,1935.066899999998
Tawarwaith_Gwathuirim_cabed,0.09835287152941176,0.9881353506257926,-2.50310603,3.95316002,0.45823961470588237,170,2713.708599999998
acharn_per_gwaloth,0.3795614436813187,0.9930533840694578,-1.2149863,5.28260228,0.5166499912637362,182,2248.7523
aear_morgul_heleg,0.6360513661077845,2.668898246850124,-2.37811878,14.25481284,0.4551537933529412,167,2143.440800000004
aerlinn_nadhras_cund,-0.15411661864661655,1.0190438805006634,-3.5343724,3.38220663,0.5781459458646616,133,2226.664800000006
aerlinn_sirion_gli,0.8245166933561643,0.6979295563123051,-2.60794023,2.3916838,0.43359075328767127,146,2526.7464000000036
agar_cugu_glaur,1.2465594442342343,1.1854361612682902,-2.21575226,4.42033475,0.4389461075675676,111,1512.2390000000014
ah_achad_bain,0.3125541211309524,0.8071056200678355,-3.64064921,3.24579083,0.4118069732142857,168,2220.3303000000014
ah_navaer_agarwaen,0.25221287775,1.094672227666444,-3.33704959,3.39321311,0.42388106981250007,160,2696.345699999998
aiglos_saig_mindon,0.14182014815068494,0.9159741204168509,-6.12150199,2.91470858,0.45750073184931506,146,1998.5337
aith_glass_firiel,1.0085608635151515,1.102899949311891,-1.49250313,4.42551229,0.4799697896969697,165,1959.2516000000032
alag_amlug_gaurwaith,0.4502237297142857,1.3608834115488764,-2.99192082,6.83823665,0.5251437889830508,175,2326.9423000000024
alph_nana_panas,1.2686843597402597,1.5692157509596643,-1.60322486,5.88402657,0.5612680009090909,77,1800.9374000000025
amon_corch_idhren,0.2759121182666667,0.8773095253396731,-2.68979251,3.90386588,0.5225688462,150,2174.100999999995
anann_raegdan_lost,0.9089454460693642,3.8187206704032475,-4.29473972,26.27022768,0.45942655040229885,173,1780.2646999999997
annon_salab_aderthad,0.9353653448091602,1.2041503965950258,-1.20176411,4.75485712,0.4586639212977099,131,2571.5723
aphadrim_neledh_ist,0.2910044567407407,1.2267216609976623,-2.43041961,5.51267279,0.5526368094814814,135,2132.4114000000045
araf_agar_maecheneb,0.5527690107368421,0.6907985585089925,-2.15532371,2.64373581,0.4486702614736842,95,1582.0765000000029
araf_glamog_echad,0.39371459675438597,1.0317372036200778,-1.69535336,4.45462064,0.4482930935964912,114,1665.9668999999994
aranarth_gellui_melethril,1.77623072186747,5.9851473397838655,-3.0950719,48.11197042,0.476262401746988,166,1779.5711999999985
aranarth_sirion_adan,0.1969937067213115,1.064040163703922,-4.69933525,5.0789964,0.5306962127322404,183,3100.644999999997
