object_id,mean_flux,std_flux,min_flux,max_flux,mean_flux_err,num_points,duration
Elrim_hal_amarth,0.8490627069166667,1.0983925733127915,-1.86557985,4.5518028,0.4319882026666667,120,1600.832500000004
Eluwaith_faradrim_haudh,0.8779222457843137,0.8476925320346166,-1.01106316,3.69125718,0.4571693043137255,102,1597.1834999999992
Eru_iaun_rodwen,0.09120583611464968,1.468039829249543,-5.42796267,3.088277,0.46552480649681527,157,1015.8185999999987
Mirion_malad_adar,-0.22566826109826588,1.2626248353546161,-4.64097312,3.47189638,0.5474816216763005,173,3320.4946000000054
Mithrim_firion_achas,0.5264375294565218,0.8776537033615229,-1.38091241,2.39102546,0.5073006975,92,2228.6838999999964
acharn_adel_baug,-0.29767477195652176,1.1560476159613184,-8.07893737,2.5490145,0.5505110599999999,184,1652.001400000001
achas_hwiniol_nothrim,0.5185285406,1.383234878334547,-4.62081661,5.62724047,0.473918577,150,2279.8847000000023
adel_draug_gas,0.25508389716981134,1.2776782609761803,-1.67611933,6.33077193,0.4277109396855346,159,2171.6686000000045
aderthad_cuil_nimbrethil,0.9240435502919708,2.0569637202398137,-1.80248264,10.49433179,0.5171130214492754,137,1839.1965999999957
aerlinn_hand_gul,0.013805017821229051,0.9980499679940817,-2.17736842,2.13637354,0.3861297388826816,179,2801.521200000003
ah_sador_imloth,0.19085016514450867,1.4088629624979871,-4.66941139,5.05362141,0.42450370809248555,173,2649.0079999999944
alae_haeron_aphadrim,0.3865279701875,1.6064619001583134,-3.75035389,7.73775831,0.5676698059375,160,1629.4990000000034
alae_hend_heron,0.8167179811764705,1.278263769339632,-2.11160001,5.84423049,0.5394524852941177,153,2337.7598
alag_nimp_laer,0.3391558977027027,1.4263156208659162,-3.03727984,6.6369689,0.6168281785810811,148,1950.2035000000033
alph_alag_lunt,0.5767923721052631,1.0378759379921216,-2.37563498,3.81621894,0.4992704572180451,133,2123.870799999997
alph_celon_gwaloth,0.3698078605769231,1.4997572878194485,-2.71323913,6.96731996,0.506786395886076,156,2274.7151999999987
amloth_hu_magol,0.2621570731132076,0.770633000179696,-2.14510407,2.83367332,0.34928673009433964,106,1830.965400000001
anann_nath_echad,0.24919505415929205,1.0571179311339634,-2.691934,3.46109553,0.43845733168141593,113,2122.3980999999985
anann_talraph_haeron,0.7025964164285714,1.1817490704715168,-4.44034695,4.66986371,0.6061575536607143,112,1586.1496999999945
andrann_calad_gador,0.4033825484558824,1.121738056466311,-1.98852254,3.76605784,0.4906003902941176,136,1933.308600000004
ank_ennorath_cuin,0.47831712780487806,1.639082291081145,-3.72888047,6.01541533,0.651601836402439,164,2020.1827000000048
annon_callon_cyron,0.30768374177419355,1.3076903744963295,-2.97496984,7.27911352,0.5151063692473118,186,1987.9031000000032
